FormatData_af#getContents()::: format data_af get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_agq#getContents()::: format data_agq get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ak#getContents()::: format data_ak get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_am#getContents()::: format data_am get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ar#getContents()::: format data_ar get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_MonthNames->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ksh#getContents()::: format data_ksh get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_japanese_DatePatterns->new->StringArr->metaValue_japanese_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_kw#getContents()::: format data_kw get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_long_Eras->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_ky#getContents()::: format data_ky get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lag#getContents()::: format data_lag get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_lb#getContents()::: format data_lb get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_standalone_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_long_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lg#getContents()::: format data_lg get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lkt#getContents()::: format data_lkt get contents:::metaValue_MonthNames->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_ln#getContents()::: format data_ln get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lo#getContents()::: format data_lo get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_MonthNarrows->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lrc#getContents()::: format data_lrc get contents:::metaValue_MonthNames->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_MonthNarrows->new->StringArr->metaValue_buddhist_QuarterAbbreviations->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_AmPmMarkers->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lrc_IQ#getContents()::: format data_lrc_ q get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_lt#getContents()::: format data_lt get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lu#getContents()::: format data_lu get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_luo#getContents()::: format data_luo get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_luy#getContents()::: format data_luy get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_standalone_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_lv#getContents()::: format data_lv get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_islamic_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mas#getContents()::: format data_mas get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mer#getContents()::: format data_mer get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mfe#getContents()::: format data_mfe get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mg#getContents()::: format data_mg get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mgh#getContents()::: format data_mgh get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mgo#getContents()::: format data_mgo get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_AmPmMarkers->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mk#getContents()::: format data_mk get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ml#getContents()::: format data_ml get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->metaValue_roc_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mn#getContents()::: format data_mn get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_standalone_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_abbreviated_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mr#getContents()::: format data_mr get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ms#getContents()::: format data_ms get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_long_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ms_BN#getContents()::: format data_ms_ n get contents:::metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mt#getContents()::: format data_mt get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_AmPmMarkers->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mua#getContents()::: format data_mua get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_my#getContents()::: format data_my get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_mzn#getContents()::: format data_mzn get contents:::metaValue_MonthNames->new->StringArr->metaValue_Eras->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_naq#getContents()::: format data_naq get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_nb#getContents()::: format data_nb get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DateTimePatterns->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->metaValue_brah_NumberElements->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
